Would be perfect except for the screen,"To introduce myself, I had a Samsung Skyrocket S2 that decided to die on me at the end of last month, and then my backup phone (a cheap Chinese phone) decided to start dying too. There's a phone I want to spend some money on coming out in the next few months, but I need something to get by and to act as a backup phone when I do make that purchase, so after some searching I settled for this one. I listen to a lot of music on my phone, read email, do some app development of my own as a grad student, and occasionally watch videos on Youtube or use GPS to find some place I've never visited before. All in all, barring development I'm a fairly gentle phone user but I also have some tech savvy to form a useful opinion. When I looked up info on the Advance 4.0, I was able to find specs but not much in the way of useful reviews, so I tried to be as thorough writing this as possible. Design: The Advance 4.0 is bulky for a 4"" phone - it's nearly as large in length and width as my 4.5"" Samsung S2 Skyrocket, and it's thicker too. The outside of the case is smooth plastic - it isn't slippery in the hand but it does attract fingerprints more than any other phone I've had. However, the phone does come with an Otterbox-like case and a screen protector, and I'd recommend using both. Inside under the battery are two SIM slots and an SD slot. The SIM slots are easy to use and well-labelled but the SD slot frankly scares me. It's flimsy and easy to bend and doesn't offer much protection to the card in the slot. Add that to being under the battery and this isn't a phone for someone who likes to use multiple SD cards. However, all of this is to be expected with a phone in this price range, and getting a case and screen protector included is a great deal. Performance: The MediaTek chip and 512mb of RAM in this phone might not be impressive compared to a flagship phone, but for day to day operation they perform admirably. Multitasking is generally quick, Youtube and Google Maps load quickly and the phone is loaded with what is basically stock Jelly Bean, which is great. There's no extra junkware to get rid of and the Play Store is ready to go. I should note that I am not a phone gamer, but if you want a cell phone that can play high-end games this is probably not the phone for you. Social games and the like should work fine (I only tried Angry Birds, hardly a tech demo game). Connectivity: The Advance 4.0's antenna is quite strong - I had trouble getting signal in my basement with my S2, but get 3 bars with this phone. Bluetooth connectivity is similarly impressive - I was able to pair my headset immediately and had signal with my phone in one corner of the house all the way to the garage on the other side - 45 feet away through walls. Data connectivity is flawless - both on wifi and 3g (the phone is compatible with HSPA+) are capped by my provider and ping was good per Speedtest. 3g tethering also works well - assuming your provider lets you do this. Battery: The Advance 4.0 comes with a 1600mah battery, which with the MediaTek chip should last a very long time. To test, I unplugged the phone at 7AM yesterday, and for the entire day streamed music via wifi to my bluetooth headset - a double drain on the battery. I also downloaded a variety of apps and podcasts and browsed the web some. Then I left the phone on overnight, continuing to download more podcasts while I slept. When I plugged it in at 7:30 this morning it still had 25% battery left. For a budget phone this is outstanding. I wouldn't normally listen to 12 hours of music like that, so there's no way I'm going to kill the battery unless I forget to charge it for two days. Screen: ... and this is where the wheels come off. The screen on this phone is just short of abysmal. It's not that it's an 800x480 screen - I've had that resolution on other phones and they looked much better than this one. The colors are distorted unless you are looking directly at the phone. This isn't the usual complaint that reviewers have about viewing angles - you literally can't be tilting the phone at all or it's no good. In addition, even if you are looking directly at it images and videos are grainy and just don't look right. However, for normal phone navigation and app use it's adequate. If you wanted to watch anything on your phone, you will be disappointed. I'm lucky that my top use for a smartphone (streaming music) doesn't require much use of this screen. Conclusion: With a phone in this price range, something always has to give. You either get an a phone that's still running Gingerbread, specs that are subpar, or a battery that can't make it through the day. In this case it's the screen, but even that is really only so bad if you want to watch videos. I expect later this year there will be a lot of competition for budget phones, but if you need a phone right now and only have $100 to spare this is not at all a bad choice.",5,1,,
Hard to complain at that price...,"I bought this phone to upgrade from my AT&T GoPhone Avail (ZTE-Z990). I didn't actually have much of a problem with the Z990, except for one thing: it only had 130MB usable space for installing apps. Even 4 years ago (when I originally bought it) that was considered a minuscule amount of space. After doing everything I could to get around this problem, I finally gave up and decided to find a new phone. The BLU Advance 4.0 has 1.27GB of space for apps (the other 2.72GB is for the Android OS). I know that's still pretty small by today's cell phone standards but it's a HUGE upgrade to me. I can't tell you how wonderful it is to be able to download and install all the apps I want, plus some I never had the option of installing before. (I still use AppMgr Pro III. It lets me know what programs I can move to my external SD card. Out of the 26 apps I've installed, 11 were able to be moved to my SD card. At 37 apps I've only filled half the 1.27GB with the help of AppMgr.) I switched to T-mobile (from AT&T) with this phone. I was pleasantly surprised that I didn't have to touch any settings to get this phone to work with T-mobile. Call, text, and data all loaded automatically when I installed the SIM card. I'm told HSPA+ is 4G. If that's the case then this phone DOES get 4G (as well as 3G and 2G). Reception for cell and data are, of course, entirely dictated by location. I've been very fortunate thus far, all things considered (I live in Wyoming, lol). I was pleasantly surprised to see there was absolutely no ""bloatware"" on this phone. I LOVE IT. There's something immensely satisfying knowing that not one bit of memory is being wasted on an app I don't want. Other than standard Google stuff (which is part and parcel with Android), you only get the basics. Everything else you can customize and tweak to your hearts content. Fantastic! The screen is bright and crisp and it's 4"" (the ""sweet spot"" for phone screens as far as I'm concerned). The up and down viewing angle is horrid though. Just a slight tilt and the colors are completely washed out. (Right and left are fine though.) And, of course, direct sunlight makes the screen unviewable. (My Z990 did the same thing, so I'm use to that.) Straight on view, though, and the screen is lovely. Sadly, the only upgrade I got with the camera on this phone was having a flash. Otherwise it's the exact same as the Z990, if not a little worse. (The auto-focus/focus is middling at best on this phone. It doesn't seem to focus at all with things up-close.) The touch screen is fine. It's no better or worse than other touch screens I've used. That is to say, using a keyboard can be a pain. Swiftkey is how I get around this and I recommend others either get Swiftkey or an app similar to it. (I've heard people have problems with the stock dialer too, their cheek accidently hitting the end-call button. I recommend getting an alternative dialer if that's an issue for you. ExDialer is pretty good.) Speakers are loud enough. If you're in a crowded or noisy place you'll have difficulty (headphones or bluetooth headset might be in order). Minor complaint here: They have one of the worst speakerphone placements I've ever seen.They have the speaker in the lower back (!!) area of the phone... you know... the part of the phone you cover with your hand to hold it? So if you want to listen to music or have hand-free talking, you'll have to hold the phone from the top (!!!!!) or put it screen-side down. I have adapted but it's a very strange and inconvenient design decision on BLU's part. Battery life is OK. It really depends on what you're doing with the phone and how many apps are running in the background. I've not had it die on me yet, but I do make it a point to charge it at night and I have a charger in my car just in case. Also, if you're curious, battery replacements are available. Go to BLU's Amazon Store Front and check their Accessory page to find it. I got a screen protector, protective silicone case, and a earbuds with this phone (along with the standard charger and manual). I tried to use the screen protector but I didn't clean the phone well enough and ended up ruining it. Oh well. The phone itself has a slippery plastic feel to it, so the silicone case is useful as it gives the phone ""grip"". I haven't tested the earbuds but they seem sturdy and of good quality. Speaking of the outside of the phone... it's lovely looking. Someone mentioned it looked cheap in the reviews. I guess that depends on where you're coming from. Having used a Z990 for the last 4 years, the Advance 4 is practically a work of art by comparison. The back is particularly cool looking. (I wish the silicone case was the same color as the phone, or see-through, because it's a shame to have it all covered up.) At $82 this is a perfect phone. There are no ""deal breaking"" issues for me. All the minor annoyances I can either get around or live with. If this phone also proves to be durable (I haven't had it long), I'll be a BLU customer for life. :)",5,1,,
Perfect,"I'm really happy with this phone. It's priced just right and I have all the features I need plus more. I can call, text, take pictures, play games, browse the internet, get directions, download apps and so on. I can even change the background of my text conversations to a personal picture, live wallpaper, or regular wallpaper. I'm currently using an HTC Thunderbolt silicone case for my Blu phone and it fits plus looks nice (I did not receive a case with my phone). The case cut outs don't match but the calls are not affected and the camera cut out will take a slight adjustment and I just slip the case off when I'm charging my phone. I will never go back to a contract with any phone company, ever. UPDATE 3/27/14 Although I still think this phone is nice for the price, there are some things I have noticed while using it more often. The phone has slow reaction at times. My ""demands"" are not always met with speed when texting or playing Bingo Bash, for example. Also, I cannot receive pictures directly in my text messages. I have to click on a link that takes me to an external source where my pictures are held for seven days, and that is if I can view them. I cannot seem to send pictures through text either (I have only tried once). Sending and receiving pictures through text is something I thought was standard on all cell phones but apparently not. I'm disappointed big time about that. All and all I still recommend this phone. It picks up my wifi with no problem and I can sync my email to it as well. It really reminds me of my now broken Galaxy S, except for the few disappointments.",5,1,,
i absolutely positively love this phone,"I've had this phone now for 2 months and wanted to wait until i was familiar with it before i reviewed. Its not too big, not too small and just the right size, the same size as a s4 mini. I just want to thank the blu company for hookin a sister up because not only is it a great price, it comes with a free rubber case and screen protector along with standard accessories. I paid less than $100 for a phone that can perform just as good as or even better than the name brand phones. I love the way its feels in hand, how loud it is, how responsive it is, everthing! I would say i have a minor problem with the keyboard's unresponsiveness (its the keyboard, NOT THE PHONE) . However i changed this problem by downloading a free app called ""a keyboard"". It allows you to choose either qwerty or a 3×4 keyboard (which is my favorite) and you can choose backgrounds. Another thing i do not like is that the battery tends to die a little quick with playing games, watching movies, playing songs etc. and to solve this problem, i downloaded ""du battery"" app from the google play store. It tells me my battery's temperature, controls my battery power and creates a shortcut optimize button that i can press to stop background apps from killing my battery. The last thing i do not like is the screen resolution and viewing angles which seem to look a bit blurry looking from the sides of the screen. When watching movies or doing anything the screen has to be directly facing you for you to see clearly. Overall, i still give this phone 5 stars because most of my problems were able to be solved and this is way more than a bargain. I hope this review helps your decision :)",5,1,,
Great phone for the price,"This phone does everything my nexus 7 tablet does but it's a phone. I don't understand the complaints about the screen....my screen is fine. I can see what some people are talking about when you tilt it but I never would have noticed it at all if it wasn't pointed out here. Be ready for a pain in the caboose if you are going to hook it up to straight talk. I am tech savy and it still took a couple hours of messing around and calling their customer service. Once it finally got all sorted out the thing works like a charm. One thing, the ""case"" that comes with the phone is really just a skin and offers little to no protection. The kickstand case that is sold on this website is heavy duty though and not expensive. Well worth the price. In the end ,it is insane what you get with this phone for the price.....just as good as an iphone with the exception of the camera, which is just OK. Super happy with the purchase. It does seem to have a small glitch where the ringtone keeps resetting and nothing can fix it.... EDIT: Pay attention if you are trying to use this phone with straight talk and are having problems. You have to get all the APN settings correct and those can be found easily on the web. But here is the deal. Sometimes straight talk fumbles porting over the number completely and you might need to either A) Wait until your next billing cycle or B) Get another SIM card. If all of your APN settings are correct and you can't get picture or group texts, this is likely the case. IF you decide to get a new SIM card, there is a glitch with this phone where it retains the SIM profile from the first SIM put into the phone and tries to use this profile when downloading any MMS text. It is impossible to erase. It took me a lot of troubleshooting and switching various SIMs between phones to recognize this. You can tell if this is happening if the little icon next to the message you are trying to download (but can't) is different from the icon of the message you sent. For example, one will say AT T, the other will be AT T 01. Confusing huh? Anyway, solving this problem is not hard. When ever you add a new sim from the same carrier (ie a new straight talk SIM when you already had one in the phone) you HAVE TO DO A FACTORY RESET before MMS texts will work. Now that I have fixed this on my wifes phone it works like a charm. Enjoy!",5,1,,
Great Phone but you need to know this,I purchased this phone for the dual SIM - I have both work and personal USA ATT accounts so now I don't have to carry two phones with me. It worked for talk and SMS text right out of the box however you must call or chat with ATT tech support to register the IMEI number(s) on the box to connect to 3G data for the internet and multimedia texting. FYI there are two IMEI numbers on the box. The first one is for SIM #1 and the second is for SIM #2.,5,1,,
A Five-star even with issues,"The aide dropped and broke her cellphone. After considerable research on price, feature and performance, I bought the Blue Advance 4.0 Unlocked cellphone to give. She's on Simple Mobile. The unlocked GSM Quad Band phone will give her the freedom to move to another carrier without having to replace the phone. Size, weight and construction wise, it feels solid in your hand. The outer is plastic and would most likely break if you drop it. But don't worry, they included a silicon case. You don't have to spend money on a case unless you want a fancier one. You don't have to worry about buying a screen protector that would fit the phone either. One (1) screen protector is included. The back camera is 5 MP and the front camera is VGA quality. Really? Come on BLU - think high resolution Selfie. Selfie lovers want to look g..o...o....d. It has two SIM slots. Her SIM was a little smaller than the slot. When it was put in the phone did not recognized it. Aligned the SIM properly, the phone recognized it without any problem. Yes, it stayed in place once it's done properly. The marking on the SIM has SIM1 on the right and SIM2 on the left. The label has SIM 1 on the left and SIM 2 on the right (see image). Go with the marking next to the SIM slot. Two SIM slots allow you to have two phone (lines/number or carriers) - Narco dealer? or one SIM for your significant other and the other for your intimate BFF. The Micro SD slot supports 32GB. There are three issues with the WiFi. First, there is no well-defined character set for WiFi SSID. It's up to manufacturer's implementation. With that being said, I had special characters in my SSID. It seems that BLU's implementation would not accept special characters in SSID. My Hikvision security camera has the same problem as BLU. My Samsung phones accept special characters and hidden SSID. Second, forget about not broadcasting your WiFi SSID (it's not secured anyway, but why broadcast it). BLU Advance 4.0 will not connect to non-broadcasting SSID. It can't find the WiFi, even if you input the SSID and Passphrase manually. BLU needs to fix this flaw. Third, the battery drains pretty quickly if you download over WiFi; otherwise the battery last a day and a half between charges for normal use - your normal may be different from hers. Since other manufacturers have the same WiFi issues and base on price, feature and performance, I still rate the BLU Advance 4.0 a five-star buy.",5,1,,
BLU Advance 4.0,"For the price there's nothing better out there. I have zero complaints. If I needed anything to be better, I would go with a different phone. Some people complain about things, which are up to specs. If you need better screen, faster processor, more RAM, smaller or larger size, other color - just find another phone. Of course a lot of things could be better, but same goes for any phone or a car you drive,or house you live in, and everything has it's own price. As of now, I'm certain, I got the best product for my needs and my money. I am extremely happy with this purchase. BLU has my respect.",5,1,,
For the price it's a great phone.,While it's no Nexus 5 it is a great phone for the price. It's a good in almost every way with a decent screen and solid feel. Jelly Bean does the job which can be reskinned to update the dated UI. I bought three for the kids and they're great. Zero complaints. Makes for a great first smartphone considering the first one always gets trashed. Five stars not because it's a great phone but five stars because it's a good phone at a dirt cheap price. I was really surprised at the quality of this phone for the price. Well done BLU. Highly recommended.,5,1,,
Good device,"It arrived in perfect condition. Good dual SIM device that works on 3G 850/1700/1900 MHz (In Venezuela, serves to 3G Movistar and Movilnet; but only 2G in Digitel network). This phone is good for gifts to people who are not very tech-savvy. And it has Android 4.2.2 in almost pure state",5,1,,
